Check Number,Date,Amount
3856,2025-02-27,2581.0
3857,2025-02-27,1160.0
3858,2025-02-27,4382.0
3859,2025-02-27,1327.0
3860,2025-02-27,23087.0
3861,2025-02-27,15467.0
3862,2025-02-27,70505.0
3863,2025-02-27,49594.0
3864,2025-02-27,1580.0
3865,2025-02-27,1550.0
3866,2025-03-03,2825.0
3867,2025-03-03,2620.0
3868,2025-03-03,2670.0
3869,2025-03-03,2560.0
3870,2025-03-03,2685.0
3871,2025-03-03,2900.0
3872,2025-03-03,1360.0
3873,2025-03-03,1360.0
3874,2025-03-03,3362.0
3875,2025-03-03,1640.0
3876,2025-03-03,2300.0
3877,2025-03-03,2725.0
3878,2025-03-06,1020.0
3879,2025-03-06,6665.0
3880,2025-03-06,22285.0
3881,2025-03-06,17878.0
3882,2025-03-06,49433.0
3883,2025-03-06,44724.0
3884,2025-03-06,2580.0
3885,2025-03-06,7306.0
3886,2025-03-06,2550.0
3887,2025-03-06,2520.0
3888,2025-03-06,2320.0
3889,2025-03-07,3129.0
3890,2025-03-07,2730.0
3891,2025-03-07,1960.0
3892,2025-03-07,2800.0
3893,2025-03-07,2610.0
3894,2025-03-07,1380.0
3895,2025-03-07,1380.0
3896,2025-03-07,10000.0
3897,2025-03-24,3500.0
3898,2025-03-21,4100.0
3899,2025-03-10,2635.0
3900,2025-03-10,2720.0
3901,2025-03-10,3300.0
3902,2025-03-10,2590.0
3903,2025-03-10,2750.0
3904,2025-03-27,1150.0
3906,2025-03-13,5799.0
3907,2025-03-13,25033.0
3908,2025-03-13,32454.0
3909,2025-03-13,43451.0
3910,2025-03-13,74853.0
3911,2025-03-13,1525.0
3912,2025-03-13,1465.0
3913,2025-03-13,3100.0
3914,2025-03-13,4901.0
3915,2025-03-17,3043.0
3916,2025-03-17,2675.0
3917,2025-03-17,2610.0
3918,2025-03-17,2185.0
3919,2025-03-17,2800.0
3920,2025-03-17,2550.0
3921,2025-03-17,3000.0
3922,2025-03-17,2715.0
3923,2025-03-17,3200.0
3924,2025-03-17,2610.0
3925,2025-03-17,2510.0
3926,2025-03-17,1850.0
3927,2025-03-17,1950.0
3928,2025-03-19,3000.0
3929,2025-03-20,7340.0
3930,2025-03-20,2785.0
3931,2025-03-20,1550.0
3932,2025-03-20,1550.0
3933,2025-03-20,1670.0
3934,2025-03-20,1670.0
3935,2025-03-20,2435.0
3936,2025-03-20,1720.0
3937,2025-03-20,1972.0
3938,2025-03-20,4813.0
3939,2025-03-20,18541.0
3940,2025-03-20,7638.0
3941,2025-03-20,49768.0
3942,2025-03-20,50246.0
3943,2025-03-24,3525.0
3944,2025-03-24,2510.0
3945,2025-03-24,2700.0
3946,2025-03-24,1580.0
3947,2025-03-24,2760.0
3948,2025-03-24,1550.0
3949,2025-03-24,1550.0
3950,2025-03-27,9994.0
3951,2025-03-27,9703.0
3953,2025-03-27,22342.0
3954,2025-03-27,66564.0
3955,2025-03-27,37847.0
3956,2025-03-26,10000.0
3957,2025-03-27,26517.0
3958,2025-03-27,1545.0
3959,2025-03-27,1545.0
3960,2025-03-27,3350.0
3961,2025-03-27,2780.0
3962,2025-03-27,920.0
3963,2025-03-27,3020.0
3964,2025-03-27,3050.0
3965,2025-03-27,2965.0
3966,2025-04-01,2757.0
3967,2025-04-01,1830.0
3968,2025-04-01,1895.0
3969,2025-04-01,2700.0
3970,2025-04-01,2975.0
3971,2025-04-01,3700.0
3972,2025-04-01,2720.0
3973,2025-04-01,1655.0
3974,2025-04-01,2070.0
3975,2025-04-01,2750.0
3976,2025-04-01,2900.0
3977,2025-04-03,7486.0
3978,2025-04-03,5955.0
3979,2025-04-03,2085.0
3980,2025-04-03,2125.0
3981,2025-04-03,19814.0
3982,2025-04-03,12283.0
3983,2025-04-03,54999.0
3984,2025-04-03,54712.0
3985,2025-04-03,7720.0
3986,2025-04-03,3310.0
3987,2025-04-03,2750.0
3988,2025-04-03,1645.0
3989,2025-04-03,1470.0
3990,2025-04-03,2830.0
3991,2025-04-03,3400.0
3992,2025-04-03,2800.0
3993,2025-04-07,2825.0
3994,2025-04-07,2370.0
3995,2025-04-07,2850.0
3996,2025-04-07,2620.0
3997,2025-04-07,2310.0
3998,2025-04-07,2585.0
3999,2025-04-07,1465.0
4000,2025-04-07,1465.0
4001,2025-04-07,2850.0
4002,2025-04-07,3000.0
4003,2025-04-10,1747.0
4004,2025-04-10,4649.0
4005,2025-04-10,3997.0
4006,2025-04-10,5286.0
4007,2025-04-10,29654.0
4008,2025-04-10,26523.0
4009,2025-04-10,39045.0
4010,2025-04-10,19936.0
4011,2025-04-10,1540.0
4012,2025-04-10,1540.0
4013,2025-04-10,2710.0
4014,2025-04-10,2670.0
4015,2025-04-10,1500.0
4016,2025-04-10,3000.0
4017,2025-04-14,2400.0
4018,2025-04-14,2600.0
4019,2025-04-14,2910.0
4020,2025-04-14,2850.0
4021,2025-04-14,3040.0
4022,2025-04-14,2820.0
4023,2025-04-16,2300.0
4024,2025-04-16,1571.0
4025,2025-04-16,1571.0
4026,2025-04-16,3270.0
4027,2025-04-16,2550.0
4028,2025-04-16,2785.0
4029,2025-04-16,2660.0
4030,2025-04-16,10000.0
4032,2025-04-16,2710.0
4033,2025-04-16,2075.0
4034,2025-04-16,2075.0
4035,2025-04-17,1920.0
4036,2025-04-17,7825.0
4037,2025-04-17,9051.0
4038,2025-04-17,6209.0
4039,2025-04-17,1636.0
4040,2025-04-17,5375.0
4041,2025-04-17,25359.0
4042,2025-04-17,32010.0
4044,2025-04-17,66140.0
4045,2025-04-17,3289.0
4046,2025-04-17,50475.0
4047,2025-04-25,2850.0
4048,2025-04-21,2270.0
4049,2025-04-21,1600.0
4050,2025-04-21,1600.0
4051,2025-04-21,3200.0
4052,2025-04-21,2635.0
4053,2025-04-21,2480.0
4054,2025-04-21,2070.0
4055,2025-04-21,770.0
4056,2025-04-21,2463.0
4058,2025-04-23,2710.0
4059,2025-04-24,4811.0
4060,2025-04-24,6617.0
4061,2025-04-24,7132.0
4062,2025-04-24,7488.0
4063,2025-04-24,11695.0
4064,2025-04-24,3688.0
4065,2025-04-24,14629.0
4066,2025-04-24,47447.0
4067,2025-04-24,50219.0
4068,2025-04-24,2900.0
4069,2025-04-24,2330.0
4070,2025-04-24,1600.0
4071,2025-04-24,1820.0
4072,2025-04-28,10000.0
4073,2025-04-30,1565.0
4074,2025-04-30,1565.0
4075,2025-04-30,1600.0
4076,2025-04-30,2260.0
4077,2025-04-30,1590.0
4078,2025-04-30,1475.0
4079,2025-04-30,2900.0
4080,2025-04-30,2875.0
4081,2025-04-30,2800.0
4082,2025-04-30,2600.0
4083,2025-04-30,2800.0
4084,2025-04-30,2480.0
4085,2025-04-30,2620.0
4086,2025-04-30,4700.0
4087,2025-04-30,3500.0
4088,2025-04-30,3240.0
4089,2025-05-01,7323.0
4090,2025-05-01,2641.0
4091,2025-05-01,2701.0
4092,2025-05-01,4295.0
4093,2025-05-01,4941.0
4094,2025-05-01,31633.0
4095,2025-05-01,11330.0
4096,2025-05-01,15806.0
4097,2025-05-01,45435.0
4098,2025-05-01,39384.0
4099,2025-05-01,1600.0
4100,2025-05-01,1740.0
4101,2025-05-01,2850.0
4102,2025-05-05,2730.0
4103,2025-05-05,1655.0
4104,2025-05-05,1355.0
4105,2025-05-12,4700.0
4106,2025-05-05,475.0
4107,2025-05-05,415.0
4108,2025-05-05,1900.0
4109,2025-05-05,1350.0
4110,2025-05-05,1350.0
4111,2025-05-05,2480.0
4112,2025-05-05,2690.0
4113,2025-05-05,2365.0
4114,2025-05-06,1830.0
4115,2025-05-08,644.0
4116,2025-05-08,2205.0
4117,2025-05-08,4282.0
4118,2025-05-08,18030.0
4119,2025-05-08,14727.0
4120,2025-05-08,29090.0
4121,2025-05-08,46785.0
4122,2025-05-08,41678.0
4123,2025-05-08,2670.0
4124,2025-05-08,1535.0
4125,2025-05-08,1535.0
4126,2025-05-08,1435.0
4127,2025-05-08,1325.0
4128,2025-05-08,1680.0
4129,2025-05-08,2770.0
4130,2025-05-08,3285.0
4131,2025-05-08,2450.0
4132,2025-05-12,10000.0
4133,2025-05-14,3570.0
4134,2025-05-12,2560.0
4135,2025-05-12,3850.0
4136,2025-05-12,2568.0
4137,2025-05-12,2580.0
4138,2025-05-12,1325.0
4139,2025-05-12,1225.0
4140,2025-05-12,1110.0
4141,2025-05-12,1500.0
4142,2025-05-12,1500.0
4143,2025-05-12,1500.0
4144,2025-05-12,1500.0
4145,2025-05-15,6174.0
4146,2025-05-15,8784.0
4147,2025-05-15,6409.0
4148,2025-05-15,28399.0
4149,2025-05-15,16308.0
4150,2025-05-15,21566.0
4151,2025-05-15,46238.0
4152,2025-05-15,51241.0
4153,2025-05-15,8015.0
4154,2025-05-21,3000.0
4155,2025-05-19,2225.0
4156,2025-05-19,3200.0
4157,2025-05-20,2550.0
4158,2025-05-20,1600.0
4159,2025-05-20,2610.0
4160,2025-05-20,2850.0
4161,2025-05-20,1470.0
4162,2025-05-20,1470.0
4163,2025-05-20,2040.0
4164,2025-05-22,2550.0
4165,2025-05-22,1580.0
4166,2025-05-22,1580.0
4167,2025-05-22,3330.0
4169,2025-05-22,2800.0
4170,2025-05-22,1078.0
4171,2025-05-22,290.0
4172,2025-05-22,3287.0
4173,2025-05-22,17937.0
4174,2025-05-22,47954.0
4175,2025-05-22,1161.0
4176,2025-05-22,45484.0
4177,2025-05-23,10000.0
4178,2025-05-27,1560.0
4179,2025-05-27,1690.0
4180,2025-05-27,1430.0
4181,2025-05-27,2375.0
4182,2025-05-27,3670.0
4183,2025-05-27,2416.0
4184,2025-05-27,1815.0
4185,2025-06-20,2500.0
4186,2025-06-05,2570.0
4187,2025-05-28,3135.0
4188,2025-05-28,1980.0
4189,2025-05-29,6549.0
4190,2025-05-29,2482.0
4191,2025-05-29,5678.0
4192,2025-05-29,8954.0
4193,2025-05-29,9639.0
4194,2025-05-29,52999.0
4195,2025-05-29,30323.0
4196,2025-05-29,48083.0
4197,2025-05-29,2880.0
4198,2025-05-29,2640.0
4199,2025-05-29,1450.0
4200,2025-05-29,1450.0
4201,2025-05-29,1455.0
4202,2025-05-29,1455.0
4203,2025-05-29,2715.0
4204,2025-06-02,6485.0
4205,2025-06-02,1450.0
4206,2025-06-02,1525.0
4207,2025-06-02,2645.0
4208,2025-06-04,1750.0
4209,2025-06-04,1650.0
4210,2025-06-04,960.0
4211,2025-06-04,1640.0
4212,2025-06-04,1640.0
4213,2025-06-04,2500.0
4214,2025-06-04,1590.0
4215,2025-06-04,1218.0
4216,2025-06-04,2330.0
4217,2025-06-05,2700.0
4218,2025-06-05,10000.0
4219,2025-06-05,2000.0
4220,2025-06-05,6056.0
4221,2025-06-05,854.0
4222,2025-06-05,8297.0
4223,2025-06-05,7677.0
4224,2025-06-05,19613.0
4225,2025-06-05,2553.0
4226,2025-06-05,43469.0
4227,2025-06-05,21093.0
4228,2025-06-05,1535.0
4229,2025-06-05,1500.0
4230,2025-06-10,2215.0
4231,2025-06-10,1500.0
4232,2025-06-10,1500.0
4233,2025-06-10,2570.0
4234,2025-06-10,2900.0
4235,2025-06-10,1400.0
4236,2025-06-10,1650.0
4237,2025-06-10,2950.0
4238,2025-06-10,1820.0
4239,2025-06-10,1720.0
4240,2025-06-13,3500.0
4241,2025-06-12,6155.0
4242,2025-06-12,7791.0
4243,2025-06-12,2202.0
4244,2025-06-12,5980.0
4245,2025-06-12,24637.0
4246,2025-06-12,13447.0
4247,2025-06-12,15539.0
4248,2025-06-12,59882.0
4249,2025-06-12,21330.0
4250,2025-06-12,2520.0
4251,2025-06-12,1420.0
4252,2025-06-12,1420.0
4253,2025-06-12,1535.0
4254,2025-06-12,1535.0
4255,2025-06-12,1635.0
4256,2025-06-12,1635.0
4257,2025-06-12,2710.0
4258,2025-06-13,1360.0
4259,2025-06-13,1260.0
4260,2025-06-13,1385.0
4261,2025-06-13,1385.0
4262,2025-06-13,590.0
4263,2025-06-13,1590.0
4264,2025-06-16,2710.0
4265,2025-06-16,2700.0
4266,2025-06-16,2635.0
4267,2025-06-16,10000.0
4268,2025-06-17,3036.0
4269,2025-06-17,2550.0
4270,2025-06-17,1575.0
4271,2025-06-17,1575.0
4272,2025-06-17,1535.0
4273,2025-06-17,1535.0
4274,2025-06-17,2900.0
4275,2025-06-17,2500.0
4276,2025-06-17,1460.0
4277,2025-06-17,1460.0
4278,2025-06-17,1480.0
4279,2025-06-17,1375.0
4280,2025-06-20,1575.0
4281,2025-06-20,1575.0
4282,2025-06-20,6332.0
4283,2025-06-20,8199.0
4284,2025-06-20,3417.0
4285,2025-06-20,14479.0
4286,2025-06-20,26756.0
4287,2025-06-20,20489.0
4288,2025-06-20,39394.0
4289,2025-06-20,45542.0
4290,2025-06-20,1620.0
4291,2025-06-20,1620.0
4292,2025-06-24,10000.0
4293,2025-06-24,5000.0
4294,2025-06-24,2270.0
4295,2025-06-24,2590.0
4296,2025-06-24,1500.0
4297,2025-06-24,2330.0
4298,2025-06-24,2270.0
4299,2025-06-24,1520.0
4300,2025-06-24,1720.0
4301,2025-06-24,2600.0
4302,2025-06-24,2510.0
4303,2025-06-24,1475.0
4304,2025-06-24,1590.0
4305,2025-06-24,1520.0
4306,2025-06-24,1520.0
4307,2025-06-24,2725.0
4308,2025-06-24,1620.0
4309,2025-06-24,1510.0
4310,2025-06-27,4776.0
4311,2025-06-27,8866.0
4312,2025-06-27,6613.0
4313,2025-06-27,45488.0
4314,2025-06-27,10928.0
4315,2025-06-27,7317.0
4316,2025-06-27,31817.0
4317,2025-06-27,75332.0
4318,2025-06-27,8390.0
4319,2025-06-30,2275.0
4320,2025-06-30,2955.0
4321,2025-06-27,3500.0
4322,2025-06-30,2680.0
4323,2025-06-30,2490.0
4324,2025-06-30,2660.0
4325,2025-06-30,1445.0
4326,2025-06-30,1445.0
4327,2025-06-30,1235.0
4328,2025-06-30,1050.0
4329,2025-06-30,1535.0
4330,2025-06-30,1535.0
4331,2025-06-30,2370.0
4332,2025-06-30,1320.0
4333,2025-06-30,790.0
4334,2025-06-30,974.0
4335,2025-07-03,10536.0
4336,2025-07-03,5508.0
4337,2025-07-03,10000.0
4338,2025-07-03,710.0
4339,2025-07-03,19155.0
4340,2025-07-03,15280.0
4341,2025-07-03,39518.0
4342,2025-07-03,40016.0
4343,2025-07-03,27280.0
4344,2025-07-03,2720.0
4345,2025-07-03,2340.0
4346,2025-07-03,1570.0
4347,2025-07-03,1780.0
4348,2025-07-03,10000.0
4349,2025-07-03,2400.0
4350,2025-07-07,2530.0
4351,2025-07-07,1405.0
4352,2025-07-07,1375.0
4353,2025-07-07,1460.0
4354,2025-07-07,1460.0
4355,2025-07-07,2250.0
4356,2025-07-07,2270.0
4357,2025-07-17,4310.0
4358,2025-07-10,1524.0
4359,2025-07-10,7748.0
4360,2025-07-10,7268.0
4361,2025-07-10,34896.0
4362,2025-07-10,40510.0
4363,2025-07-10,59243.0
4364,2025-07-10,7003.0
4365,2025-07-10,7476.0
4366,2025-07-10,1465.0
4367,2025-07-10,1465.0
4368,2025-07-10,1525.0
4369,2025-07-10,1525.0
4370,2025-07-10,1580.0
4371,2025-07-10,1680.0
4372,2025-07-10,4665.0
4373,2025-07-10,1410.0
4374,2025-07-10,1410.0
4375,2025-07-14,1680.0
4376,2025-07-14,1560.0
4377,2025-07-14,2825.0
4378,2025-07-14,3100.0
4379,2025-07-14,1535.0
4380,2025-07-14,1535.0
4381,2025-07-14,1480.0
4382,2025-07-14,1480.0
4383,2025-07-14,1645.0
4384,2025-07-14,1747.0
4385,2025-07-14,1715.0
4386,2025-07-14,1865.0
4387,2025-07-15,3000.0
4388,2025-07-17,2300.0
4389,2025-07-17,1495.0
4390,2025-07-14,2600.0
4391,2025-07-17,1390.0
4392,2025-07-17,5592.0
4393,2025-07-17,5421.0
4394,2025-07-17,2270.0
4395,2025-07-17,17670.0
4396,2025-07-17,11482.0
4397,2025-07-17,16885.0
4398,2025-07-17,33110.0
4399,2025-07-17,55724.0
4400,2025-07-21,3110.0
4401,2025-07-21,1635.0
4402,2025-07-21,1455.0
4403,2025-07-03,25999.0
4404,2025-07-10,19796.0
4405,2025-07-17,27334.0
4406,2025-07-24,24949.0
4407,2025-07-31,29772.0
4408,2025-08-07,27634.0
4409,2025-08-14,30287.0
4410,2025-08-21,28502.0
4411,2025-08-28,30644.0
4412,2025-09-04,17851.0
4413,2025-09-11,25454.0
4414,2025-09-18,25702.0
4415,2025-09-25,31135.0
4520,2025-07-21,1455.0
4521,2025-07-21,1390.0
4522,2025-07-21,1390.0
4523,2025-07-21,2500.0
4524,2025-07-21,2600.0
4525,2025-07-22,1410.0
4526,2025-07-22,1520.0
4527,2025-07-22,2812.0
4528,2025-07-22,2230.0
4529,2025-07-22,2380.0
4530,2025-07-22,1530.0
4531,2025-07-22,1530.0
4532,2025-07-22,1290.0
4533,2025-07-22,2145.0
4534,2025-07-22,2420.0
4535,2025-07-22,1490.0
4536,2025-07-22,1490.0
4537,2025-07-22,1505.0
4538,2025-07-24,8214.0
4539,2025-07-24,29218.0
4540,2025-07-24,5648.0
4541,2025-07-24,10417.0
4542,2025-07-24,29724.0
4543,2025-07-24,58521.0
4544,2025-07-24,45568.0
4545,2025-07-24,3000.0
4546,2025-07-24,7810.0
4547,2025-07-24,1527.0
4548,2025-07-25,10000.0
4549,2025-08-01,1860.0
4550,2025-07-28,1515.0
4551,2025-07-28,1515.0
4552,2025-07-28,1890.0
4553,2025-07-29,1825.0
4554,2025-07-28,1540.0
4555,2025-07-28,1540.0
4556,2025-07-28,1585.0
4557,2025-07-28,1470.0
4558,2025-07-28,2035.0
4559,2025-07-28,4120.0
4560,2025-08-01,3000.0
4561,2025-09-15,1100.0
4562,2025-07-30,1900.0
4563,2025-07-30,1210.0
4564,2025-07-30,1210.0
4565,2025-07-30,1900.0
4566,2025-07-30,1485.0
4567,2025-07-30,1790.0
4568,2025-07-30,2752.0
4569,2025-07-30,10000.0
4570,2025-07-31,5520.0
4571,2025-07-31,5215.0
4572,2025-07-31,6247.0
4573,2025-07-31,14970.0
4574,2025-07-31,13208.0
4575,2025-07-31,23888.0
4576,2025-07-31,46909.0
4577,2025-07-31,62634.0
4578,2025-07-31,3000.0
4579,2025-07-31,2215.0
4580,2025-07-31,1480.0
4581,2025-07-31,1370.0
4582,2025-07-31,1515.0
4583,2025-07-31,1515.0
4584,2025-07-31,2270.0
4585,2025-07-31,2270.0
4586,2025-08-04,1361.0
4587,2025-08-04,1310.0
4588,2025-08-04,1530.0
4589,2025-08-04,1530.0
4590,2025-08-04,2400.0
4591,2025-08-04,2230.0
4592,2025-08-04,2560.0
4593,2025-08-04,2400.0
4594,2025-08-04,2700.0
4595,2025-08-06,1535.0
4596,2025-08-06,1535.0
4597,2025-08-06,1465.0
4598,2025-08-06,1465.0
4599,2025-08-06,1630.0
4600,2025-08-06,1630.0
4601,2025-08-06,1575.0
4602,2025-08-06,1575.0
4603,2025-08-06,1545.0
4604,2025-08-06,1545.0
4605,2025-08-06,2245.0
4606,2025-08-06,8975.0
4607,2025-08-07,4409.0
4608,2025-08-07,7573.0
4609,2025-08-07,4999.0
4610,2025-08-07,9405.0
4611,2025-08-07,25895.0
4612,2025-08-07,24204.0
4613,2025-08-07,10789.0
4614,2025-08-07,65997.0
4615,2025-08-07,53660.0
4616,2025-08-08,2600.0
4617,2025-08-08,1310.0
4618,2025-08-08,1310.0
4619,2025-08-08,2530.0
4620,2025-08-08,2210.0
4621,2025-08-08,2325.0
4622,2025-08-08,1415.0
4623,2025-08-08,1530.0
4624,2025-08-15,714.0
4625,2025-08-11,1615.0
4626,2025-08-11,1540.0
4627,2025-08-11,2500.0
4628,2025-08-11,1600.0
4629,2025-08-11,1600.0
4630,2025-08-11,2270.0
4631,2025-08-11,985.0
4632,2025-08-11,985.0
4633,2025-08-12,2117.0
4634,2025-08-12,2117.0
4635,2025-08-12,1510.0
4637,2025-08-12,1400.0
4638,2025-08-12,2440.0
4639,2025-08-12,890.0
4640,2025-08-14,5671.0
4641,2025-08-14,6204.0
4642,2025-08-14,14791.0
4643,2025-08-14,2903.0
4644,2025-08-14,33627.0
4645,2025-08-14,20086.0
4646,2025-08-14,22109.0
4647,2025-08-14,60075.0
4648,2025-08-14,33849.0
4649,2025-08-14,10000.0
4650,2025-08-14,2000.0
4651,2025-08-14,5000.0
4652,2025-08-18,2590.0
4653,2025-08-18,2225.0
4654,2025-08-18,2500.0
4655,2025-08-18,2270.0
4656,2025-08-18,1575.0
4657,2025-08-18,1575.0
4658,2025-08-18,2110.0
4659,2025-08-18,2120.0
4660,2025-08-18,1525.0
4661,2025-08-18,1525.0
4662,2025-08-18,2315.0
4663,2025-08-18,2315.0
4664,2025-08-18,1600.0
4665,2025-08-18,1600.0
4666,2025-08-18,2760.0
4667,2025-08-18,1405.0
4668,2025-08-18,1405.0
4669,2025-08-20,8750.0
4670,2025-08-20,1680.0
4671,2025-08-20,1450.0
4672,2025-08-20,1530.0
4673,2025-08-20,1530.0
4674,2025-08-21,1977.0
4675,2025-08-21,6426.0
4676,2025-08-21,6155.0
4677,2025-08-21,7093.0
4678,2025-08-21,8789.0
4679,2025-08-21,28759.0
4680,2025-08-21,55898.0
4681,2025-08-21,25296.0
4682,2025-08-21,30183.0
4683,2025-08-21,1595.0
4684,2025-08-21,1595.0
4685,2025-08-21,2270.0
4686,2025-08-21,2230.0
